des,orbit_id,jd,cd,dist,dist_min,dist_max,v_rel,v_inf,t_sigma_f,h
2002 EW11,13,2452356.159723679,2002-Mar-22 15:50,0.0162374476365492,0.0161145560546703,0.016360333565808,10.3895558234764,10.373749600778,< 00:01,24.8
2024 TL2,3,2452357.404496666,2002-Mar-23 21:42,0.0122029181489828,0.0119730999322466,0.0467522167815426,8.67175669805245,8.64654085707186,2_18:41,30.76
2021 FP2,2,2452357.972004426,2002-Mar-24 11:20,0.00415496512553317,0.000823287884129889,0.113569331158736,8.72483287087076,8.65102055609845,8_18:46,30.12
2002 GR,19,2452359.009934589,2002-Mar-25 12:14,0.0204551498587061,0.0204428967368654,0.0204674028945076,6.1099429452109,6.08858634028503,< 00:01,23.2
2016 FG14,6,2452360.052398143,2002-Mar-26 13:15,0.0378802416547882,0.0373561008751991,0.210934867965346,13.3704742438509,13.3652123962042,1_22:37,26.2
2024 VD,4,2452363.159571466,2002-Mar-29 15:50,0.0223959064994474,0.0101340763900338,0.174422136727196,10.1862317829244,10.1745454203837,5_12:55,26.44
2024 UG9,2,2452363.778216402,2002-Mar-30 06:41,0.0406079086034529,0.015260925094821,0.110401361930643,18.8348425053871,18.8313584912389,4_20:30,32.61
2002 GQ,10,2452364.646806986,2002-Mar-31 03:31,0.00279680976297641,0.00278182403668027,0.0028117921822725,9.29962229411583,9.19660830759694,< 00:01,26.3
2019 SQ1,6,2452365.807905816,2002-Apr-01 07:23,0.0455838349753422,0.000561298099914876,0.134631620947593,7.3685914522224,7.36065455096754,5_19:37,27.6
2016 TY55,11,2452368.936667538,2002-Apr-04 10:29,0.0249675771453531,0.021220210093194,0.0297386272803623,5.03760917807255,5.0163802763419,06:33,26.9
434096,66,2452369.280079102,2002-Apr-04 18:43,0.0384593492889383,0.0384591045450937,0.0384595940330714,24.9725720894501,24.9697976754024,< 00:01,18.15
503911,54,2452370.656100055,2002-Apr-06 03:45,0.0081684957292784,0.00816847232848576,0.00816851913011515,11.5696213130123,11.5413932384996,< 00:01,22.89
2002 GG8,11,2452371.803385480,2002-Apr-07 07:17,0.0336176935474236,0.0334379977458365,0.0337973868904429,11.2454526319975,11.238402395878,< 00:01,24.7
2010 GK65,9,2452372.196871523,2002-Apr-07 16:43,0.044704245342597,0.0126089511564853,0.0774313399184874,13.9551908123507,13.9509191759079,19:43,24.5
2001 GO2,13,2452372.831675531,2002-Apr-08 07:58,0.0482695893361918,0.0437481400001388,0.0527931453287103,6.43446955617497,6.4258850403606,04:47,24.3
2024 GX3,4,2452375.129520104,2002-Apr-10 15:07,0.0074271947681075,0.000132738851861791,0.11633314025749,9.43354692399033,9.3954411700459,4_03:37,29.71
2002 GK1,13,2452375.889111922,2002-Apr-11 09:20,0.0208892905840478,0.0207880284632672,0.0209905513920682,13.8312105501642,13.8219854024232,< 00:01,22.5
2002 GJ1,8,2452377.420228994,2002-Apr-12 22:05,0.0351736369996902,0.0345810396769369,0.0357661953094425,8.51765641393401,8.5087582199368,00:11,23.3
2025 GK,4,2452377.756630623,2002-Apr-13 06:10,0.0180808377286941,0.0126105742263771,0.0782361215843114,12.7902671731572,12.7787403419622,12:50,24.98
2023 HQ4,2,2452379.486121134,2002-Apr-14 23:40,0.0283253382155312,0.0271856568687861,0.243282386145756,6.98435353101662,6.97087227425689,1_02:23,25.80
2025 HQ3,4,2452381.437930059,2002-Apr-16 22:31,0.0491850608850706,0.0438606502307301,0.0652237101455903,3.29989685628522,3.2834393851493,4_12:42,26.79
2002 GG1,12,2452382.857596456,2002-Apr-18 08:35,0.0408762539460765,0.0408439958241826,0.0409085119788647,8.4485934697555,8.44087457191885,< 00:01,23.5
2020 RB4,2,2452387.666024304,2002-Apr-23 03:59,0.0439303332047418,0.0369836575583305,0.0591844139919388,2.33509755424077,2.30897722474778,2_23:33,29.70
434326,36,2452388.710779569,2002-Apr-24 05:04,0.0431400112793199,0.0431391305219048,0.0431408920573876,12.1316938111112,12.1266016537418,< 00:01,18.48
2002 JR100,29,2452394.703227842,2002-Apr-30 04:53,0.0256452102255467,0.0256449751812234,0.0256454452698875,7.72467090666928,7.71120905824378,< 00:01,24.3
2020 HQ4,17,2452396.472374748,2002-May-01 23:20,0.0488214837799237,0.0120531820386908,0.0857470458665473,5.12281664923098,5.11215204214012,6_04:09,27.0
2021 HC3,12,2452398.597015971,2002-May-04 02:20,0.0496576636579812,0.0496492975425802,0.049666038884276,25.9500724973731,25.9480047151275,00:01,21.57
2002 JU15,13,2452398.618848939,2002-May-04 02:51,0.00998770617644808,0.0098815740959408,0.0100938184381716,7.70155558972297,7.66683811585924,< 00:01,26.2
2022 ML3,8,2452407.310546800,2002-May-12 19:27,0.028641210312885,0.0280704769640916,0.0292261348163963,1.36332494820486,1.29328874745096,2_00:14,27.32
2025 FR5,28,2452409.936669048,2002-May-15 10:29,0.0492549739124137,0.0407700627705904,0.0586306260874823,17.9203748018415,17.9173558807774,19:31,20.39
2018 WG2,2,2452411.717211501,2002-May-17 05:13,0.0213981713349633,0.0133413545694938,0.029773926945966,7.09399788027103,7.07642338219029,10:29,30.1
2025 YQ12,6,2452420.658437068,2002-May-26 03:48,0.0234563833295391,0.015603537328845,0.0314105404957879,3.18409965975968,3.1482224795669,2_16:45,25.336
2002 KG4,17,2452420.701024733,2002-May-26 04:49,0.0416373570071283,0.0415754406822878,0.0416992732681384,18.9175076104986,18.914124593972,< 00:01,20.9
2025 JP,15,2452421.066236917,2002-May-26 13:35,0.0395740091799765,0.020413260119637,0.0587562502252678,7.1951965688536,7.18583298026541,4_07:06,25.29
2018 XP3,5,2452423.876994072,2002-May-29 09:03,0.04024782497415,0.0402450865203954,0.0402505640756744,10.9909988854578,10.9849739579331,< 00:01,22.85
2002 LK,13,2452423.936679323,2002-May-29 10:29,0.0234070176533068,0.0232895520482301,0.0235244817779226,13.4419516304503,13.4334805108458,< 00:01,24.38
2025 MT1,6,2452424.783294802,2002-May-30 06:48,0.0262835444257907,0.02349958230931,0.0328954195492919,2.40347804228113,2.36092309054221,7_04:50,26.23
2008 LD,11,2452425.177407785,2002-May-30 16:15,0.0119863479567386,0.00568512743885195,0.0189860574205646,4.38153162769395,4.33050040097936,23:04,28.9
2019 LU5,4,2452434.137732440,2002-Jun-08 15:18,0.0375817270813916,0.0305636859581059,0.21156395859797,16.7803456458765,16.7761200359372,5_15:58,24.35
2002 LR24,13,2452434.710744857,2002-Jun-09 05:03,0.0241874752574972,0.0240747065078421,0.0243002422950183,11.2724452735667,11.2626685787704,< 00:01,24.3
2002 MX,13,2452437.584459312,2002-Jun-12 02:02,0.0414805647068123,0.0412766408731611,0.0416844881647161,25.5731138360195,25.5706019182705,00:01,21.7
2002 MN,21,2452439.585652784,2002-Jun-14 02:03,0.000802053264299034,0.000801792849546573,0.000802313682613599,10.5744802875799,10.2555101160713,00:02,23.70
2025 YN1,4,2452444.709587195,2002-Jun-19 05:02,0.0286108125047729,0.0147161587811908,0.163791084562801,13.2668146812354,13.2597931724434,8_01:55,26.141
2003 YN107,18,2452445.811623406,2002-Jun-20 07:29,0.0386689088575434,0.0386650920638665,0.0386727258347309,2.22049781784512,2.18924659495781,< 00:01,26.5
2020 XJ5,3,2452446.758576070,2002-Jun-21 06:12,0.0365442068797786,0.0364945496446558,0.0365938653259638,11.6625484397245,11.6562950311547,00:09,25.07
2022 MA,3,2452448.934729597,2002-Jun-23 10:26,0.0407485451320894,0.0302509361809867,0.0524194047322284,4.18724474440692,4.17159944008092,2_21:34,26.33
2002 LZ45,16,2452450.235285460,2002-Jun-24 17:39,0.0127859123757848,0.0127608403645864,0.0128109842114128,15.2688685817677,15.2552143269274,< 00:01,23.05
2025 XS1,8,2452450.531694465,2002-Jun-25 00:46,0.0282795845847565,0.0276428041963243,0.0583934122543806,20.3842322061899,20.3796095220461,2_14:58,21.872
2004 CZ1,19,2452453.903989627,2002-Jun-28 09:42,0.0278018328334296,0.0274367022406961,0.0597945139546487,11.2578002119165,11.2492839366558,5_05:08,24.39
2002 MR3,23,2452454.913297779,2002-Jun-29 09:55,0.04610644089502,0.0461060533884319,0.0461068284017862,19.9067087074165,19.9038054672294,< 00:01,21.92
2002 MY,21,2452455.659935461,2002-Jun-30 03:50,0.0486792924767537,0.0486789140600684,0.0486796708943494,8.23964822518601,8.23300261899713,< 00:01,22.5
2020 QN1,19,2452464.385428362,2002-Jul-08 21:15,0.0382827057513877,0.0382824518283818,0.038282959674398,8.48305248340498,8.47484390880112,< 00:01,23.2
2002 NW,12,2452467.421574879,2002-Jul-11 22:07,0.0136517841308885,0.01358033012175,0.0137232374802574,21.0555533676775,21.0462818268896,< 00:01,24.2
2022 YG,9,2452473.746356898,2002-Jul-18 05:55,0.0184266202196106,0.0184255905656978,0.0184276500987507,5.65772244623954,5.63210656488035,< 00:01,26.75
2021 OS,14,2452474.375508816,2002-Jul-18 21:01,0.0244953565516511,0.0244943621685013,0.024496350940422,13.6414468521111,13.633470668531,< 00:01,22.04
2020 DD4,2,2452475.768816199,2002-Jul-20 06:27,0.0455943023764345,0.0276831202374679,0.0638105548586663,11.8301963420574,11.8252555050255,00:07,28.3
54509,88,2452481.357515548,2002-Jul-25 20:35,0.0115741293204021,0.0115741147092786,0.011574143931527,7.0178983491299,6.98501806775093,< 00:01,22.66
2002 PX39,17,2452483.854958684,2002-Jul-28 08:31,0.045537796980547,0.045388344195943,0.045687248638351,10.1066367177776,10.1008456569421,< 00:01,23.4
2025 OL1,9,2452486.928894988,2002-Jul-31 10:18,0.0261435502558892,0.0251278422911688,0.0271778940267504,7.846868624099,7.83386958397142,00:14,25.03
2025 PN7,4,2452489.144535187,2002-Aug-02 15:28,0.0465223337025418,0.046520919302163,0.0465237481250788,2.1933492107363,2.16707972034607,< 00:01,26.36
2017 YD1,3,2452489.239164673,2002-Aug-02 17:44,0.0414270263879649,0.0413616156790307,0.0520604176262111,2.51201143364743,2.48627565013303,1_20:13,30.0
2013 YP139,11,2452490.361058727,2002-Aug-03 20:40,0.0105806611137673,0.0105783197030722,0.0105830025654494,16.0846186860093,16.068954771592,00:02,21.17
2002 PN,17,2452491.063588830,2002-Aug-04 13:32,0.0162253404557967,0.0162245530024666,0.0162261279103628,5.02169994915828,4.98889126543527,< 00:01,24.8
2002 PE43,9,2452495.931434927,2002-Aug-09 10:21,0.0230776197763124,0.0227841235375768,0.0233710896105789,8.0892812122001,8.07499572500184,< 00:01,24.1
2004 PU42,10,2452498.042824927,2002-Aug-11 13:02,0.0450809735184789,0.000832241152658436,0.0895280768870849,11.4487306129872,11.4435669286611,4_08:25,26.7
2021 CZ3,5,2452500.679506040,2002-Aug-14 04:18,0.0120803796187774,0.00515921457536769,0.0258438787693552,9.59722922351436,9.57421974199171,19:48,31.0
2018 PK20,5,2452504.212381601,2002-Aug-17 17:06,0.0300073083931322,0.021387908861803,0.0532492118339027,7.85994209746332,7.84863689327862,1_16:41,25.9
2002 NY40,67,2452504.825254573,2002-Aug-18 07:48,0.00352258917648114,0.00352256914576505,0.00352260920719743,20.8962978875956,20.8600687785721,< 00:01,19.0
363305,142,2452509.378042804,2002-Aug-22 21:04,0.038065725271247,0.0380656263956636,0.0380658241468327,4.6064245787768,4.59120395757172,< 00:01,21.42
2020 PJ6,4,2452511.591248081,2002-Aug-25 02:11,0.0316462935427495,0.00183327460137364,0.0844429098886149,3.19928734763608,3.17286121516288,13:23,25.6
141593,192,2452513.839209070,2002-Aug-27 08:08,0.0486961417088978,0.0486960493511105,0.0486962340666851,9.15319901763302,9.14721921589865,< 00:01,18.32
385252,33,2452516.566776532,2002-Aug-30 01:36,0.033765716621759,0.0337657090389684,0.0337657242090447,26.205445628791,26.2024342194694,< 00:01,19.41
2022 QB8,3,2452517.870081395,2002-Aug-31 08:53,0.0493606181534059,0.0492163051346756,0.141343976043515,10.615702857865,10.6106167324625,01:08,25.85
2025 PH2,8,2452521.418793485,2002-Sep-03 22:03,0.0364803140887274,0.0237312934047105,0.0492014694185739,2.86814522450234,2.84256563256975,3_19:19,27.53
2023 DU,11,2452524.343989993,2002-Sep-06 20:15,0.037165080290442,0.0369023605732589,0.0374280319112089,10.7468270487605,10.7401538835243,00:25,25.22
387668,40,2452526.026071865,2002-Sep-08 12:38,0.0307166643399331,0.0307160841754074,0.0307172445074446,16.9560509070845,16.9509343346905,< 00:01,20.51
2002 RO28,10,2452526.425555598,2002-Sep-08 22:13,0.027169709183925,0.0270746617172709,0.0272647533395222,6.30396852029785,6.28839272652238,< 00:01,25.4
2002 RC117,11,2452527.670121593,2002-Sep-10 04:05,0.020617460236232,0.0205194569967607,0.0207154618808015,12.2974258890436,12.2869123564775,< 00:01,24.9
2021 RS5,9,2452529.480274968,2002-Sep-11 23:32,0.0452392588358648,0.043067117667028,0.0474113578499809,8.94456233547884,8.93797518285047,03:13,28.35
2020 RD4,3,2452533.245323797,2002-Sep-15 17:53,0.0181422975182051,7.20172974233899e-05,0.0576543942004397,9.32985016207785,9.31409538574686,12:30,29.7
2021 PC7,11,2452533.879526897,2002-Sep-16 09:07,0.0157946687904591,0.0157895484395291,0.0157997892578421,17.964608031342,17.9552151758954,< 00:01,19.39
2002 TR67,11,2452537.703420416,2002-Sep-20 04:53,0.0399101738537359,0.0398426220392812,0.0399777252123502,8.20824308535982,8.20010553183357,< 00:01,22.7
2025 SO1,4,2452540.315789018,2002-Sep-22 19:35,0.0308870320221484,0.0140647373324369,0.06813472306047,12.7301598157697,12.7233815598901,07:45,25.43
2019 SB5,2,2452540.454876888,2002-Sep-22 22:55,0.0387848127769124,0.0101745962377178,0.09344962612123,6.06096035220878,6.04961505506443,3_14:23,28.2
2002 TG66,8,2452543.615863109,2002-Sep-26 02:47,0.0250633891664271,0.0245320714120256,0.0255946752045122,11.9901897126458,11.9813200486605,00:07,23.9
2002 TZ57,8,2452544.338213529,2002-Sep-26 20:07,0.0456246960791983,0.04464075755819,0.0466085935152264,10.9790241884977,10.9737036710177,< 00:01,24.6
2002 TZ59,9,2452545.394995986,2002-Sep-27 21:29,0.0164412464098585,0.0157571879788056,0.0171252866877682,29.5683596045182,29.562878215267,00:12,23.39
2002 TX55,20,2452548.749922320,2002-Oct-01 06:00,0.00529270064559467,0.00529241667985967,0.00529298461133117,10.2112182696417,10.161797477688,< 00:01,23.87
2002 TY59,18,2452549.578477975,2002-Oct-02 01:53,0.00510546967938508,0.00509714422953692,0.00511379474479039,8.41512765549884,8.35287968510698,< 00:01,25.5
2018 SO2,4,2452550.443183992,2002-Oct-02 22:38,0.0252595770233322,0.00510798229285752,0.0544815233442241,8.69138264721945,8.67923755116812,21:08,25.9
2017 FN1,4,2452550.806308397,2002-Oct-03 07:21,0.0383398969675824,0.00487740063713564,0.203371026929414,16.7810893651251,16.7769475103801,8_23:16,30.6
2020 FD,4,2452551.296819553,2002-Oct-03 19:07,0.0304118213041501,0.00468979073376625,0.132097584366945,14.5332622454183,14.527232528571,5_06:52,27.67
2002 TA67,12,2452551.783942089,2002-Oct-04 06:49,0.0459469810501596,0.0456145872241689,0.0462793734410536,19.562797441047,19.5598329009756,< 00:01,22.8
2002 TZ66,18,2452553.000011642,2002-Oct-05 12:00,0.00663718443550212,0.00663684007414107,0.00663752879646852,5.64805921460446,5.57652924516581,< 00:01,25.9
209215,25,2452553.569273791,2002-Oct-06 01:40,0.0230763624567783,0.0230760687098648,0.0230766562037535,4.35120691382491,4.32458951280265,< 00:01,24.30
2002 TA58,9,2452554.663601829,2002-Oct-07 03:56,0.0144233308578148,0.0143287187628256,0.014517939113041,10.9494859834985,10.9326014900167,< 00:01,26.8
869522,30,2452555.098519422,2002-Oct-07 14:22,0.0155520761539061,0.0155515961119992,0.0155525561981565,16.3829459210077,16.3724849822094,< 00:01,21.79
2002 TZ68,8,2452555.233356359,2002-Oct-07 17:36,0.0259147203515429,0.0253742737718809,0.0264550686025182,6.87268501452788,6.8577084278707,< 00:01,26.4
2005 TQ45,11,2452556.382726055,2002-Oct-08 21:11,0.043113701932123,0.0422623629614872,0.0439738661212065,12.9406293867196,12.935852754507,00:39,25.6
